"created_time","loves","angries","is"
2017-10-11 02:54:44,294,66,0.633333333333333
2017-10-11 02:54:54,294,66,0.633333333333333
2017-10-11 02:54:56,294,66,0.633333333333333
2017-10-11 02:54:57,294,66,0.633333333333333
2017-10-11 02:54:58,294,66,0.633333333333333
2017-10-11 02:54:59,294,66,0.633333333333333
2017-10-11 02:55:00,294,66,0.733333333333333
2017-10-11 02:55:01,294,66,0.733333333333333
2017-10-11 02:55:02,294,66,0.733333333333333
2017-10-11 02:55:03,294,66,0.733333333333333
2017-10-11 02:55:04,294,66,0.733333333333333
2017-10-11 02:55:05,294,66,0.733333333333333
2017-10-11 02:55:06,294,66,0.833333333333333
2017-10-11 02:55:14,294,66,0.833333333333333
2017-10-11 02:55:15,294,66,0.833333333333333
2017-10-11 02:55:16,294,66,0.833333333333333
2017-10-11 02:55:17,294,66,0.833333333333333
2017-10-11 03:20:36,295,67,0.629834254143646
2017-10-11 03:21:18,295,67,0.629834254143646
2017-10-11 03:22:03,295,67,0.629834254143646
2017-10-11 03:33:02,295,67,0.629834254143646
2017-10-11 03:33:57,295,67,0.629834254143646
